"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene symbol","Gene ID","Gene title","gene_symbol_primary"
"205007_s_at",0.0549490228631582,5.27837947855932,0.683993430307795,0.49655930849711,0.952376385311246,-5.29031624574912,"CIB2","10518","calcium and integrin binding family member 2","CIB2"
"205725_at",0.0461061739960531,3.63420946162712,0.683865137137154,0.496639759599875,0.952448684969561,-5.29038979086943,"SCGB1A1","7356","secretoglobin family 1A member 1","SCGB1A1"
"204291_at",0.102558384085524,9.75879598364407,0.683687198928866,0.496751354293124,0.952513958507955,-5.29049177298596,"ZNF518A","9849","zinc finger protein 518A","ZNF518A"
"204026_s_at",-0.0887346399105251,7.81689994330508,-0.683674512846145,0.496759310946062,0.952513958507955,-5.29049904279291,"ZWINT","11130","ZW10 interacting kinetochore protein","ZWINT"
"220390_at",-0.0776065523578957,5.58633816638983,-0.683588242512845,0.496813421149791,0.952521326238555,-5.29054847681422,"AGBL2","79841","ATP/GTP binding protein like 2","AGBL2"
"216858_x_at",0.0466914978947433,10.8583631749153,0.683510424837934,0.496862232465156,0.952521326238555,-5.29059306209584,"","","",""
"207759_s_at",0.0750706229986839,8.72652913015254,0.683356503038631,0.496958787979872,0.952521326238555,-5.29068123620363,"TSNAX-DISC1///DISC1","100303453///27185","TSNAX-DISC1 readthrough (NMD candidate)///disrupted in schizophrenia 1","TSNAX-DISC1"
"217406_at",0.0621922304723697,5.53481688910169,0.683311004825583,0.496987331079966,0.952521326238555,-5.29070729612118,"","","",""
"202094_at",0.0916748802815786,4.76942915157627,0.683282295493483,0.497005342211408,0.952521326238555,-5.29072373902897,"BIRC5","332","baculoviral IAP repeat containing 5","BIRC5"
"221966_at",-0.0593131447552659,6.67798658557627,-0.6832594071016,0.497019701764015,0.952521326238555,-5.29073684758049,"GPR137","56834","G protein-coupled receptor 137","GPR137"
"203750_s_at",-0.0504075331052638,7.84830624538983,-0.68318325033112,0.497067482074675,0.952530950380864,-5.290780460687,"RARA","5914","retinoic acid receptor alpha","RARA"
"204540_at",0.0417120347000006,6.77302791655932,0.683103259052932,0.497117670833026,0.952545187781465,-5.29082626457943,"EEF1A2","1917","eukaryotic translation elongation factor 1 alpha 2","EEF1A2"
"203482_at",-0.103954152481577,10.1663282091186,-0.683018810168157,0.497170659419766,0.952564787124291,-5.29087461522972,"SLF2","55719","SMC5-SMC6 complex localization factor 2","SLF2"
"219449_s_at",0.0492504118828947,9.72338089159322,0.682907837276945,0.49724029553788,0.952567981489893,-5.2909381430962,"TMEM70","54968","transmembrane protein 70","TMEM70"
"204998_s_at",-0.0716188549921029,7.70249348491525,-0.68287986847289,0.49725784696081,0.952567981489893,-5.29095415259985,"ATF5","22809","activating transcription factor 5","ATF5"
"208990_s_at",0.077205457973692,11.4266194938983,0.682669951835404,0.497389587935841,0.952595826466349,-5.29107428952688,"HNRNPH3","3189","heterogeneous nuclear ribonucleoprotein H3","HNRNPH3"
"200966_x_at",0.0525085652105233,12.8178257930508,0.682659232228143,0.497396315934239,0.952595826466349,-5.2910804234679,"ALDOA","226","aldolase, fructose-bisphosphate A","ALDOA"
"203305_at",0.0691117546710522,11.0824888584746,0.682617671750535,0.497422401205168,0.952595826466349,-5.29110420418325,"F13A1","2162","coagulation factor XIII A chain","F13A1"
"216083_s_at",0.0508079838223665,5.63911330777966,0.682548046309422,0.497466103013205,0.952595826466349,-5.29114404035528,"NEU3","10825","neuraminidase 3","NEU3"
"202397_at",-0.112718424815787,9.93672982625424,-0.68251604565089,0.497486189572631,0.952595826466349,-5.29116234818206,"NUTF2P4///NUTF2","128322///10204","nuclear transport factor 2 pseudogene 4///nuclear transport factor 2","NUTF2P4"
"222382_x_at",0.0542245130039491,4.63017046811864,0.682240124673971,0.497659401336231,0.952812021626741,-5.29132016974887,"NUP205","23165","nucleoporin 205","NUP205"
"209027_s_at",0.100560082477637,10.3804706240508,0.682199927613735,0.497684638131201,0.952812021626741,-5.29134315647342,"ABI1","10006","abl interactor 1","ABI1"
"213452_at",0.0955696662250016,7.77443468405085,0.681977449978818,0.497824328193793,0.952997132956232,-5.29147035644551,"ZNF184","7738","zinc finger protein 184","ZNF184"
"221323_at",-0.0430988020342093,4.33094941088136,-0.681909675981865,0.497866886624977,0.952997132956232,-5.2915090976368,"ULBP1","80329","UL16 binding protein 1","ULBP1"
"203028_s_at",-0.0714181544381596,9.86833767350847,-0.68182751910375,0.497918479393475,0.953000297048315,-5.2915560553455,"CYBA","1535","cytochrome b-245 alpha chain","CYBA"
"205404_at",-0.0602868162407875,5.35595030652542,-0.681720485360145,0.497985698676211,0.953000297048315,-5.29161722337532,"HSD11B1","3290","hydroxysteroid 11-beta dehydrogenase 1","HSD11B1"
"217010_s_at",0.0479241878947376,3.43078296894915,0.681663384276505,0.498021561296455,0.953000297048315,-5.29164985184963,"CDC25C","995","cell division cycle 25C","CDC25C"
"219421_at",0.138749719993427,7.65980965640678,0.681634571459993,0.498039657864007,0.953000297048315,-5.29166631493553,"TTC33","23548","tetratricopeptide repeat domain 33","TTC33"
"209241_x_at",-0.0531967570723655,8.5503317619322,-0.681541980535204,0.498097814200618,0.953029718023462,-5.29171921497022,"MINK1","50488","misshapen like kinase 1","MINK1"
"219787_s_at",0.134426591856579,6.92081376381356,0.68142099684254,0.498173809606274,0.953046263298514,-5.29178832602486,"ECT2","1894","epithelial cell transforming 2","ECT2"
"217835_x_at",0.0333859096052649,12.2981923428814,0.681392000012481,0.498192024783911,0.953046263298514,-5.2918048884625,"TGIF2-C20orf24///C20orf24","100527943///55969","TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24","TGIF2-C20orf24"
"212928_at",-0.0601445306407893,8.75143592833898,-0.681264581573727,0.498272070576738,0.953094695178854,-5.29187765924428,"TSPYL4","23270","TSPY like 4","TSPYL4"
"206857_s_at",0.160148927088164,8.99663306152542,0.681215494570362,0.498302909491768,0.953094695178854,-5.29190569007785,"FKBP1B","2281","FK506 binding protein 1B","FKBP1B"
"205850_s_at",0.0413116133671103,4.43605706262712,0.681003170828742,0.498436313884712,0.953189360373002,-5.2920269134003,"GABRB3","2562","gamma-aminobutyric acid type A receptor beta3 subunit","GABRB3"
"215988_s_at",0.0485781539276324,4.86052795359322,0.68100052080321,0.498437979036006,0.953189360373002,-5.29202842616138,"DLG1","1739","discs large MAGUK scaffold protein 1","DLG1"
"212318_at",0.0494445204078939,10.7112877355932,0.680914455501613,0.498492060067778,0.95321095468926,-5.29207755320044,"TNPO3","23534","transportin 3","TNPO3"
"210953_at",0.0854216821144744,4.3165757180339,0.680817944670248,0.498552708581222,0.953245102485957,-5.2921326354095,"TSC22D2","9819","TSC22 domain family member 2","TSC22D2"
"220780_at",0.049374358089473,3.95081546728814,0.68072000533843,0.498614258890191,0.953265931472776,-5.29218852507346,"PLA2G3","50487","phospholipase A2 group III","PLA2G3"
"217295_at",-0.22020817205,6.7271135220339,-0.680656007331953,0.49865448089301,0.953265931472776,-5.29222504165021,"MUC8","100129528","mucin 8","MUC8"
"212847_at",0.119169568465798,10.6268643554576,0.680596349529613,0.498691976719654,0.953265931472776,-5.29225907871535,"FUBP1","8880","far upstream element binding protein 1","FUBP1"
"220236_at",0.0654522146118417,5.20768517605085,0.680496438339412,0.498754775845965,0.953304173446638,-5.29231607531787,"PDPR","55066","pyruvate dehydrogenase phosphatase regulatory subunit","PDPR"
"209459_s_at",0.0823673245894749,10.4653634431695,0.680425943944152,0.49879908765273,0.953307075809873,-5.29235628549662,"ABAT","18","4-aminobutyrate aminotransferase","ABAT"
"208579_x_at",0.0891596333289488,9.90605497345763,0.68028108102008,0.498890153223036,0.953399326014374,-5.29243890282316,"H2BFS","54145","H2B histone family member S","H2BFS"
"212580_at",0.0645292061723683,7.94321566740678,0.680121043171153,0.498990768772218,0.953476059285417,-5.29253015452576,"CAST","831","calpastatin","CAST"
"213192_at",0.0701054141736863,7.80507640488136,0.680048547705943,0.499036350195314,0.953476059285417,-5.29257148364717,"THAP3","90326","THAP domain containing 3","THAP3"
"206110_at",-0.0960923312526276,10.1280421288305,-0.680012988873632,0.499058708590383,0.953476059285417,-5.29259175388877,"HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A","8968///8358///8357///8356///8355///8354///8353///8352///8351///8350","histone cluster 1, H3f///histone cluster 1, H3b///histone cluster 1, H3h///histone cluster 1, H3j///histone cluster 1, H3g///histone cluster 1, H3i///histone cluster 1, H3e///histone cluster 1, H3c///histone cluster 1, H3d///histone cluster 1, H3a","HIST1H3F"
"220910_at",0.0390849154986852,3.05798601832203,0.679832151048858,0.4991724227744,0.953481172676006,-5.29269482401639,"FRAS1","80144","Fraser extracellular matrix complex subunit 1","FRAS1"
"210684_s_at",0.0430374291447393,5.78181630816949,0.67982936796702,0.499174172938162,0.953481172676006,-5.29269641004822,"DLG4","1742","discs large MAGUK scaffold protein 4","DLG4"
"220307_at",0.0506301200921087,10.7102180883051,0.679804536697317,0.499189788432924,0.953481172676006,-5.2927105606914,"CD244","51744","CD244 molecule","CD244"
"216836_s_at",0.0907532138013201,7.50559034305085,0.679707655758736,0.499250715922288,0.953515792061111,-5.29276576556155,"ERBB2","2064","erb-b2 receptor tyrosine kinase 2","ERBB2"
"215052_at",0.0655843082407896,4.78713286247458,0.679517935141613,0.499370041114373,0.953561407267011,-5.29287385011238,"FRMPD4","9758","FERM and PDZ domain containing 4","FRMPD4"
"221482_s_at",0.0683077354236836,8.43145616962712,0.679493384483442,0.499385483437933,0.953561407267011,-5.2928878345486,"ARPP19","10776","cAMP regulated phosphoprotein 19","ARPP19"
"215823_x_at",0.0314671219605263,11.4139606577966,0.679418477593625,0.499432601354231,0.953561407267011,-5.29293049960851,"RLIM///PABPC1","51132///26986","ring finger protein, LIM domain interacting///poly(A) binding protein cytoplasmic 1","RLIM"
"207010_at",-0.118584611140788,5.21614431577966,-0.679397465904705,0.499445818556874,0.953561407267011,-5.29294246650232,"GABRB1","2560","gamma-aminobutyric acid type A receptor beta1 subunit","GABRB1"
"218286_s_at",0.0638283145460541,9.71119500916949,0.67928774182174,0.4995148425374,0.953611461753848,-5.29300495230871,"RNF7","9616","ring finger protein 7","RNF7"
"210923_at",0.0492889194013166,4.57046848001695,0.679128643173239,0.499614935727168,0.953720816040627,-5.29309553839065,"SLC1A7","6512","solute carrier family 1 member 7","SLC1A7"
"206268_at",-0.0804286538578944,5.14568684523729,-0.678952260308145,0.499725915629255,0.953766946943213,-5.2931959412275,"LEFTY1","10637","left-right determination factor 1","LEFTY1"
"200974_at",0.101755092500005,8.42216581438983,0.678677406820927,0.499898879860616,0.953766946943213,-5.29335234565401,"ACTA2","59","actin, alpha 2, smooth muscle, aorta","ACTA2"
"218300_at",-0.0865242642486841,8.83805538133898,-0.678516399820184,0.50000021605916,0.953766946943213,-5.29344393723004,"PAGR1","79447","PAXIP1 associated glutamate rich protein 1","PAGR1"
"207904_s_at",0.0713452143986846,7.50649783140678,0.678306398807194,0.500132405382215,0.953766946943213,-5.29356336779757,"LNPEP","4012","leucyl and cystinyl aminopeptidase","LNPEP"
"209766_at",0.128419791976319,4.90691096322034,0.678235525966421,0.500177021991754,0.953766946943213,-5.29360366599339,"PRDX3","10935","peroxiredoxin 3","PRDX3"
"205609_at",0.110910074098686,6.29233323610169,0.678228536309973,0.500181422310352,0.953766946943213,-5.2936076400779,"ANGPT1","284","angiopoietin 1","ANGPT1"
"208364_at",0.0732625723947411,11.4671319827119,0.678188980254215,0.500206325110731,0.953766946943213,-5.29363012956785,"INPP4A","3631","inositol polyphosphate-4-phosphatase type I A","INPP4A"
"214338_at",0.047647602403952,7.86238991267797,0.678162466245334,0.500223017573623,0.953766946943213,-5.29364520331537,"DNAJB12","54788","DnaJ heat shock protein family (Hsp40) member B12","DNAJB12"
"211656_x_at",0.0926429962144812,10.2788048242034,0.678061665317229,0.500286481723205,0.953766946943213,-5.29370250538569,"LOC101060835///HLA-DQB1","101060835///3119","HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1","LOC101060835"
"206067_s_at",-0.0965105765802616,3.49163454072881,-0.678010973378137,0.500318398963987,0.953766946943213,-5.29373131895218,"WT1","7490","Wilms tumor 1","WT1"
"200013_at",-0.0322389642368428,13.3891118598305,-0.677886942479538,0.500396497388746,0.953766946943213,-5.29380180984609,"RPL24","6152","ribosomal protein L24","RPL24"
"203481_at",0.074207332119741,8.39304995977966,0.677799643574737,0.500451470783982,0.953766946943213,-5.29385141712525,"SLF2","55719","SMC5-SMC6 complex localization factor 2","SLF2"
"207658_s_at",0.0421606329289501,5.34418824237288,0.677786826992483,0.500459541849243,0.953766946943213,-5.29385869957215,"FOXG1","2290","forkhead box G1","FOXG1"
"217934_x_at",-0.0675245724763123,9.33816163235593,-0.67773470676216,0.500492364571443,0.953766946943213,-5.29388831315682,"STUB1","10273","STIP1 homology and U-box containing protein 1","STUB1"
"203087_s_at",-0.0600921809013126,9.79318064689831,-0.677691833495138,0.500519364893987,0.953766946943213,-5.29391267114008,"KIF2A","3796","kinesin family member 2A","KIF2A"
"209441_at",0.0917215741736843,5.76812195961017,0.67768225120535,0.500525399646456,0.953766946943213,-5.29391811500742,"RHOBTB2","23221","Rho related BTB domain containing 2","RHOBTB2"
